filename,blur_path,sharp_path,blur_level,estimated_angle,estimated_kernel_length,blur_psnr,blur_ssim,blur_lap_var,wiener_path,wiener_psnr,wiener_ssim,wiener_lap_var,wiener_runtime_sec,rl_path,rl_psnr,rl_ssim,rl_lap_var,rl_runtime_sec,eval_height,eval_width
000291.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000291.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000291.png,low_blur,-2.0000076293945312,13,30.255339621561156,0.9089111399267154,631.7584777341951,C:\Users\User\comp6001_assignment1\data\processed\deblurred_gopro\wiener\000291.png,13.810380811979918,0.19579504417380167,3109.795391770792,0.2015357000000222,C:\Users\User\comp6001_assignment1\data\processed\deblurred_gopro\richardson_lucy\000291.png,22.416221975056445,0.7389432456418287,687.8012333151734,0.26228100000025734,288,512
000734.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000734.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000734.png,low_blur,2.9999923706054688,17,26.233965428800108,0.869980167746796,319.5394949239253,C:\Users\User\comp6001_assignment1\data\processed\deblurred_gopro\wiener\000734.png,14.960312026400997,0.24788625595481525,1950.6166394240693,0.18685660000028292,C:\Users\User\comp6001_assignment1\data\processed\deblurred_gopro\richardson_lucy\000734.png,22.440239448679577,0.7270943572589944,415.31286362788563,0.2838688000001639,288,512
000262.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000262.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000262.png,low_blur,23.49999237060547,13,26.096887717377328,0.8305515687113099,337.4820714408969,C:\Users\User\comp6001_assignment1\data\processed\deblurred_gopro\wiener\000262.png,16.70617394964434,0.3145485835568695,2457.4246236542126,0.17420230000061565,C:\Users\User\comp6001_assignment1\data\processed\deblurred_gopro\richardson_lucy\000262.png,23.903995528813653,0.7527866251182749,473.1142527725963,0.2719137000003684,288,512
000108.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000108.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000108.png,medium_blur,-5.500003814697266,17,33.22631544223624,0.9604053155751746,248.80122560906557,C:\Users\User\comp6001_assignment1\data\processed\deblurred_gopro\wiener\000108.png,14.45635159129812,0.22040312383387892,1478.5500556226402,0.188154399999803,C:\Users\User\comp6001_assignment1\data\processed\deblurred_gopro\richardson_lucy\000108.png,22.966190593260848,0.7552188994701172,366.60687924383416,0.313614000000598,288,512
000620.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000620.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000620.png,high_blur,-9.000007629394531,21,23.177536152782633,0.6740868799028377,84.95617634554702,C:\Users\User\comp6001_assignment1\data\processed\deblurred_gopro\wiener\000620.png,16.408625093996044,0.28693795254835747,782.0267589974828,0.1673386999991635,C:\Users\User\comp6001_assignment1\data\processed\deblurred_gopro\richardson_lucy\000620.png,21.23709061756607,0.5816627423441381,121.78975580425725,0.282799999999952,288,512
000238.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000238.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000238.png,high_blur,11.999992370605469,17,24.028292939085723,0.7037824246692327,101.3003675043123,C:\Users\User\comp6001_assignment1\data\processed\deblurred_gopro\wiener\000238.png,19.190315602231234,0.48835976757467287,893.5395803626307,0.17151749999993626,C:\Users\User\comp6001_assignment1\data\processed\deblurred_gopro\richardson_lucy\000238.png,23.761175597175246,0.7021276773344738,147.64368336836316,0.2960309000000052,288,512
000159.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000159.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000159.png,low_blur,-27.000003814697266,13,29.596039270547273,0.9406470109589957,417.7057372241477,C:\Users\User\comp6001_assignment1\data\processed\deblurred_gopro\wiener\000159.png,14.561748809776523,0.18016770956366832,2819.869816307622,0.1627648000003319,C:\Users\User\comp6001_assignment1\data\processed\deblurred_gopro\richardson_lucy\000159.png,22.514017498578006,0.6966848316774191,476.2333645268262,0.27355139999963285,288,512
002171.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\002171.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\002171.png,low_blur,-5.500003814697266,17,34.20975388380751,0.9692115812140436,286.45718015270467,C:\Users\User\comp6001_assignment1\data\processed\deblurred_gopro\wiener\002171.png,15.311919493989235,0.2774072236022482,1712.7608445455999,0.19748359999994136,C:\Users\User\comp6001_assignment1\data\processed\deblurred_gopro\richardson_lucy\002171.png,23.359481761433912,0.7728402677049377,474.29237222009243,0.3420132000001104,288,512
002143.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\002143.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\002143.png,medium_blur,-4.000007629394531,17,33.570938332024625,0.9535338831785215,234.63045144890566,C:\Users\User\comp6001_assignment1\data\processed\deblurred_gopro\wiener\002143.png,16.203193022142376,0.2906794312210043,1424.0380005122702,0.16638530000000173,C:\Users\User\comp6001_assignment1\data\processed\deblurred_gopro\richardson_lucy\002143.png,23.586342637610784,0.7674345693152965,391.7213054319591,0.3117782999997871,288,512
000297.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000297.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000297.png,medium_blur,-1.5000038146972656,17,21.830614355155177,0.6911509459278514,162.33655961336177,C:\Users\User\comp6001_assignment1\data\processed\deblurred_gopro\wiener\000297.png,15.446861974900647,0.20668820805666077,1096.9209285972663,0.175532999999632,C:\Users\User\comp6001_assignment1\data\processed\deblurred_gopro\richardson_lucy\000297.png,20.537427655908655,0.6093154551575429,211.82282058393326,0.2990712999999232,288,512
