domain,mean_detection_count,mean_confidence,mean_runtime_sec
blurred,4.065,0.6014947809278965,0.17574730799997268
richardson_lucy,2.795,0.5576018850505352,0.10503641850000349
sharp,4.065,0.6014947809278965,0.11101267650003138
