domain,precision,recall,mAP50,mAP50_95
sharp,0.7970750906567023,0.6349574209064602,0.7260114187443188,0.561903106668467
blurred,0.7970750906567023,0.6349574209064602,0.7260114187443188,0.561903106668467
richardson_lucy,0.7431190348300174,0.5039165846643452,0.6091689966566592,0.4508915872005287
